threshold,sensitivity,specificity,precision,f1_score,balanced_accuracy,false_negatives,false_positives,fn_rate,fp_rate,ece_at_model_level,uvif_threshold_utility
0.44,0.9974358974358974,0.5897435897435898,0.8020618556701031,0.8891428571428571,0.7935897435897437,1,96,0.002564102564102564,0.41025641025641024,0.320399845421959,0.7263843121233379
0.45,0.9974358974358974,0.6068376068376068,0.8087318087318087,0.8932261768082663,0.8021367521367522,1,92,0.002564102564102564,0.39316239316239315,0.320399845421959,0.733980209015311
0.46,0.9974358974358974,0.6153846153846154,0.8121085594989561,0.8952819332566168,0.8064102564102564,1,90,0.002564102564102564,0.38461538461538464,0.320399845421959,0.7377865380890888
0.47000000000000003,0.9974358974358974,0.6196581196581197,0.8138075313807531,0.8963133640552995,0.8085470085470086,1,89,0.002564102564102564,0.3803418803418803,0.320399845421959,0.7396918249868872
0.48000000000000004,0.9974358974358974,0.6282051282051282,0.8172268907563025,0.8983833718244804,0.8128205128205128,1,87,0.002564102564102564,0.3717948717948718,0.320399845421959,0.7435066830500497
0.49,0.9974358974358974,0.6282051282051282,0.8172268907563025,0.8983833718244804,0.8128205128205128,1,87,0.002564102564102564,0.3717948717948718,0.320399845421959,0.7435066830500497
0.5,0.9974358974358974,0.6367521367521367,0.820675105485232,0.9004629629629629,0.8170940170940171,1,85,0.002564102564102564,0.36324786324786323,0.320399845421959,0.7473273069216145
0.51,0.9974358974358974,0.6452991452991453,0.8241525423728814,0.9025522041763341,0.8213675213675213,1,83,0.002564102564102564,0.3547008547008547,0.320399845421959,0.7511537616282206
0.52,0.9974358974358974,0.6495726495726496,0.8259023354564756,0.9036004645760743,0.8235042735042735,1,82,0.002564102564102564,0.3504273504273504,0.320399845421959,0.7530691961464474
0.53,0.9974358974358974,0.6495726495726496,0.8259023354564756,0.9036004645760743,0.8235042735042735,1,82,0.002564102564102564,0.3504273504273504,0.320399845421959,0.7530691961464474
0.54,0.9974358974358974,0.6495726495726496,0.8259023354564756,0.9036004645760743,0.8235042735042735,1,82,0.002564102564102564,0.3504273504273504,0.320399845421959,0.7530691961464474
